id;Kanji;Strokes;JLPT-test;"Reading within Joyo";"Translation of On"
4;愛;13;3;アイ;"love, affection, favorite"
6;悪;11;4;アク、オ、わる-い;"evil, wrong, vice, wickedness, lawlessness"
12;安;6;4;アン、やす-い;"be rested, feel at ease, be relieved, repose"
14;暗;13;3;アン、くら-い;dark
15;以;5;4;イ;"with, by, by means of; because; in view of"
17;位;7;3;イ、くらい;"rank, place, grade"
19;医;7;4;イ;"medicine, the healing art; doctor"
30;偉;12;3;イ、えら-い;greatness
33;意;13;4;イ;"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire"
34;違;13;3;イ、ちが-う、ちが-える;"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation)"
40;育;8;3;イク、そだ-つ、そだ-てる、はぐく-む;"be raised, be brought up, grow, grow up"
41;一;1;5;イチ、イツ、ひと、ひと-つ;"one, a"
46;引;4;3;イン、ひ-く、ひ-ける;"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside"
48;因;6;3;イン、よ-る;"cause, factor"
51;員;10;4;イン;"member; number; the one in charge"
52;院;10;4;イン;"mansion; temple; palace; hospital; school; institution; congress; ex-emperor"
55;飲;12;4;イン、の-む;"drinking; feast"
58;右;5;5;ウ、ユウ、みぎ;"right, right hand"
61;雨;8;5;ウ、あめ、[あま];"rain, fainfall"
66;運;12;4;ウン、はこ-ぶ;"destiny, fate, lot, fortune, luck"
69;泳;8;3;エイ、およ-ぐ;"swim; totter; keep afloat, get along"
70;英;8;4;エイ;"England, Britain; gifted person; wit"
71;映;9;4;エイ、うつ-る、うつ-す、は-える;"reflecting; projection"
78;易;8;3;エキ、イ、やさ-しい;"easiness; divination, augury, fortunetelling"
82;駅;14;4;エキ;"post town; stage; station"
84;越;12;3;エツ、こ-す、こ-える;"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come"
87;円;4;5;エン、まる-い;"circle; yen"
95;園;13;3;エン、その;"garden, yard, plantation, farm"
96;煙;13;3;エン、けむ-る、けむり、けむ-い;smoke
98;遠;13;3;エン、[オン]、とお-い;"far, distant, remote; hard (of hearing)"
101;演;14;3;エン;"perform, play, act, enact, render, stage, put on"
105;王;4;3;オウ;"king, rule, magnate, baron"
110;押;8;3;オウ、お-す、お-さえる;"push, shove; press, squash, compress; stamp, seal; do in spite of"
117;横;15;3;オウ、よこ;horizontal
119;屋;9;4;オク、や;"house, roof"
127;音;9;4;オン、イン、おと、ね;"sound; noise; pronunciation; tone"
131;下;3;5;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;"low class; inferiority; second, or last volume"
132;化;4;3;カ、ケ、ば-ける、ば-かす;"influence; bewitch, enchant, confuse, delude"
133;火;4;5;カ、ひ、[ほ];"fire, Tuesday"
134;加;5;3;カ、くわ-える、くわ-わる;"addition, increase"
135;可;5;3;カ;"good, passable; approval; safe to say, ability to do"
137;何;7;5;カ、なに、[なん];what
138;花;7;4;カ、はな;flower
141;果;8;3;カ、は-たす、は-てる、は-て;"fruit, reward"
144;科;9;3;カ;"course, branch, department, faculty, school, college; arm (of defense); family (in biology)"
146;夏;10;4;カ、[ゲ]、なつ;summer
147;家;10;4;カ、ケ、いえ、や;house
153;過;12;3;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;"excess; error"
157;靴;13;3;カ、くつ;shoes
159;歌;14;4;カ、うた、うた-う;"sing, recite, chant, carol"
167;画;8;4;ガ、カク;"picture, drawing, painting, sketch; stroke (in a character)"
173;回;6;3;カイ、[エ]、まわ-る、まわ-す;"time; round, game, bout, heat, inning, innings; go around"
175;会;6;4;カイ、エ、あ-う;"Buddhist ceremony; understanding; meeting, assembly; party; association, club"
182;海;9;4;カイ、うみ;"sea, ocean"
183;界;9;4;カイ;"circle, world, boundary, limits"
184;皆;9;3;カイ、みな;"all, everybody, everything"
186;絵;12;3;カイ、エ;"picture, drawing, painting, sketch, illustration, cut, print"
187;開;12;4;カイ、ひら-く、ひら-ける、あ-く、あ-ける;opening
191;解;13;3;カイ、ゲ、と-く、と-かす、と-ける;"explanation, notes; key; excuse; understanding"
197;外;5;5;ガイ、ゲ、そと、ほか、はず-す、はず-れる;"outside, without, beside, beyond the scope off"
199;害;10;3;ガイ;"injury, harm, damage, mischief, interference"
214;格;10;3;カク、[コウ];"status, rank; capacity, character; standard; a rule; a case (in law); case (in grammer)"
218;覚;12;3;カク、おぼ-える、さ-ます、さ-める;"remember, memorize; learn, perceive; feel, experience, know; expect"
222;確;15;3;カク、たし-か、たし-かめる;"firm, tight, hard, solid"
226;学;8;5;ガク、まな-ぶ;"learning, study, science, scholarship, erudition"
228;楽;13;4;ガク、ラク、たの-しい、たの-しむ;"music; comfort, ease, relief; pleasure; concluding program"
231;掛;11;3;か-ける、か-かる、かかり;-
234;活;9;3;カツ;"living; being helped; resuscitation"
237;割;12;3;カツ、わ-る、わり、わ-れる、さ-く;"divide, cut, halve; separate; split, rip; break, crack, smash; dilute"
252;完;7;3;カン;"comletion, end"
254;官;8;3;カン;"the Government, the authorities; the Court"
